video_id,stability,power,technique,balance,overall,notes,filming_date,player_level
kick_001,99,95,100,95,97,very good curved player,1/1/2025,advanced
kick_002,95,100,100,94,96,unique shooting style/powerful and curved,1/1/2025,advanced
kick_003,90,92,94,90,92,very decent curve and trajectory,1/1/2025,advanced
kick_004,91,90,90,89,89,decent curve,1/1/2025,advanced
kick_005,95,90,99,90,95,very very good curve and power,1/1/2025,advanced
kick_006,85,99,81,80,85,strong but not that stable,1/1/2025,advanced
kick_007,96,91,100,94,95,unbelievable trajectory,1/1/2025,advanced
kick_008,80,95,82,85,84,not stable as excellent but very strong,1/1/2025,advanced
kick_009,91,100,88,91,92,low-driven shooting; powerfull,1/1/2025,advanced
kick_010,95,100,88,87,90,powerfull shooting; decent tecnique,1/1/2025,advanced
kick_011,94,97,100,91,94,true knuckleball; very good trajectory,1/1/2025,advanced
kick_012,100,82,85,90,89,"this shoot was saved, not enough power",1/1/2025,advanced
kick_013,100,88,90,81,82,good shoot but trajectory very bad,1/1/2025,advanced
kick_014,90,100,95,91,94,very powerfull shooting ,1/1/2025,advanced
kick_015,90,81,82,89,85,"good potentil, knuckleball; not enough power",1/1/2025,advanced
kick_016,90,95,95,81,91,good shot but not in the corner,1/1/2025,advanced
kick_017,87,92,96,94,94,knukleball; very good shoting,1/1/2025,advanced
kick_018,100,100,90,88,94,no chance for GK; powerfull knuckleball,1/1/2025,advanced
kick_019,100,100,100,100,100,ideal knuckleball,1/1/2025,advanced
kick_020,100,90,99,94,95,very good knuckleball,1/1/2025,advanced
kick_021,91,95,88,88,89,good shoot but in the middle,1/1/2025,advanced
kick_022,95,95,95,85,91,powerfull shoot; no chance for GK,1/1/2025,advanced
kick_023,92,97,94,94,93,very good curve at the end,1/1/2025,advanced
kick_024,91,84,99,90,92,over the wall; good trajectory,1/1/2025,advanced
kick_025,91,94,86,88,90,good penalty; no chance for GK,1/1/2025,advanced
kick_026,94,81,90,91,91,very good shoot right at the corner,1/1/2025,advanced
kick_027,94,91,90,88,87,it was saved by Gk; needs better trajectory,1/1/2025,advanced
kick_028,88,91,88,80,84,powerful shoot but ot was saved by GK,1/1/2025,advanced
kick_029,90,80,100,90,90,beatiful curve+over the wall,1/1/2025,advanced
kick_030,95,85,100,90,92,over the wall; good trajectory,1/1/2025,advanced
kick_031,82,95,83,88,87,powerfull shot; trajectory can be improved,1/1/2025,advanced
kick_032,100,99,90,99,97,high quality knuckleball,1/1/2025,advanced
kick_033,86,87,88,85,87,trajectory can be better,1/1/2025,advanced
kick_034,86,90,87,83,85,good shoot with power,1/1/2025,advanced
kick_035,92,99,96,95,98,high quality knuckleball,1/1/2025,advanced
kick_036,98,100,92,94,92,high quality knuckleball but trajectory can be better,1/1/2025,advanced
kick_037,100,100,90,91,100,no chance for GK; powerfull knuckleball,1/1/2025,advanced
kick_038,90,80,85,85,86,we need beter trajectory with more power,1/1/2025,advanced
kick_039,90,86,91,99,92,high quality free kick over the wall,1/1/2025,advanced
kick_040,90,84,95,99,94,high quality free kick over the wall,1/1/2025,advanced
kick_041,68,64,72,70,70,good curve; not enough power,2/1/2025,amateur
kick_042,65,64,73,66,71,medium quailty knuckleball;not enough power,2/1/2025,amateur
kick_043,69,66,66,62,70,trajectory needs to be improved,2/1/2025,amateur
kick_044,62,62,64,66,65,medium quality low driven shoot,2/1/2025,amateur
kick_045,77,80,80,80,80,very good shoot ,2/1/2025,amateur
kick_046,77,75,73,79,76,trajectory needs to be improved,2/1/2025,amateur
kick_047,77,69,73,74,71,trajectory needs to be improved,2/1/2025,amateur
kick_048,70,62,64,65,65,missed shoot; needs better trajectory,2/1/2025,amateur
kick_049,60,60,70,60,60,not powerfull enough,2/1/2025,amateur
kick_050,75,62,76,75,73,needs more power ,2/1/2025,amateur
kick_051,70,61,72,73,66,needs more power and better trajectory,2/1/2025,amateur
kick_052,72,63,70,78,72,good trajectory; needs more power,2/1/2025,amateur
kick_053,69,62,67,77,70,it wassaved by GK thats why neds more power,2/1/2025,amateur
kick_054,71,74,76,78,74,needs better trajectory and more power,2/1/2025,amateur
kick_055,74,70,77,70,73,needs more power,2/1/2025,amateur
kick_056,75,69,66,70,72,it was saved by Gk; needs better trajectory,2/1/2025,amateur
kick_057,68,67,64,71,68,missed shoot; needs better trajectory,2/1/2025,amateur
kick_058,70,63,62,64,65,very predictable shoot,2/1/2025,amateur
kick_059,62,62,62,62,62,not enough power,2/1/2025,amateur
kick_060,77,77,79,75,78,very good trajectory,2/1/2025,amateur
kick_061,77,77,79,75,78,very good trajectory,2/1/2025,amateur
kick_062,66,72,72,66,70,right at the corner; not enoguh power,2/1/2025,amateur
kick_063,65,69,74,66,70,not bad trajectory; not enough power,2/1/2025,amateur
kick_064,69,66,70,70,67,not enough power,2/1/2025,amateur
kick_065,62,68,63,71,69,missed shoot; needs better trajectory,2/1/2025,amateur
kick_066,70,70,76,76,73,good curve; not enough power,2/1/2025,amateur
kick_067,70,70,70,70,70,good potential; needs more power,2/1/2025,amateur
kick_068,72,69,74,73,73,good potential; needs more power; predictable,2/1/2025,amateur
kick_069,72,65,71,70,69,missed shoot; needs better trajectory,2/1/2025,amateur
kick_070,70,63,69,68,67,it was saved by Gk; needs better trajectory; needs mroe power,2/1/2025,amateur
kick_071,71,64,70,69,68,it was saved by Gk; needs better trajectory; needs mroe power,2/1/2025,amateur
kick_072,72,63,70,69,68,it was saved by Gk; needs better trajectory; needs mroe power,2/1/2025,amateur
kick_073,75,77,72,75,75,powerful but predictable,2/1/2025,amateur
kick_074,74,76,71,74,74,not enough power and predictable; needs better trajectory,2/1/2025,amateur
kick_075,74,78,72,77,76,predictable; trajectory and power need to be improved,2/1/2025,amateur
kick_076,74,63,72,77,73,very weak shoot; easily saved,2/1/2025,amateur
kick_077,76,79,77,77,77,trajectory is good; curve is good,2/1/2025,amateur
kick_078,74,70,80,79,77,good trajectory; good curve,2/1/2025,amateur
kick_079,75,77,76,79,78,it was saved; but shoot is very good,2/1/2025,amateur
kick_080,77,80,80,77,79,very good shoot; but quite predictable,2/1/2025,amateur
kick_081,73,69,71,71,71,GK's mistake; shoot needs better trajectory,2/1/2025,amateur
kick_082,75,71,74,74,74,needs more power; predictable; good trajectory,2/1/2025,amateur
kick_083,73,69,72,72,72,needs more power; predictable; good trajectory,2/1/2025,amateur
kick_084,80,77,79,79,79,beatiful curve; trajectory is very good,2/1/2025,amateur
kick_085,78,74,77,74,74,GK's mistake; shoot needs better trajectory,2/1/2025,amateur
kick_086,40,56,43,42,45,kicks under the ball; posture isn't straight,3/1/2025,learner
kick_087,56,56,45,51,52,kicks under the ball; posture isn't straight,3/1/2025,learner
kick_088,53,56,41,50,50,missed kick; he is kicking under the ball,3/1/2025,learner
kick_089,42,41,43,54,45,not enough power; technique issues,3/1/2025,learner
kick_090,43,40,45,43,42,missed shoot; not enough power; he kicks under the ball,3/1/2025,learner
kick_091,45,40,40,43,41,very weak shoot; needs better trajectory,3/1/2025,learner
kick_092,40,49,40,43,42,kicks under the ball; posture isn't straight,3/1/2025,learner
kick_093,46,50,42,45,44,very weak shoot; feet standings is not right,3/1/2025,learner
kick_094,43,48,52,47,49,not bad trajectory; not enough power,3/1/2025,learner
kick_095,47,45,49,47,47,weak shoot; it can easily be saved by GK,3/1/2025,learner
kick_096,47,45,50,51,49,some curve; very weak shoot,3/1/2025,learner
kick_097,43,50,52,53,52,needs more power and better trajectory,3/1/2025,learner
kick_098,45,49,51,50,49,curved shoot but very weak; feet position is wrong,3/1/2025,learner
kick_099,54,51,57,55,54,techniques is not bad; trajectory can be better,3/1/2025,learner
kick_100,47,46,53,50,51,feet position after shoot needs to be fixed;weak shoot,3/1/2025,learner
kick_101,47,45,50,50,49,needs more power and posture during shoot is wrong,3/1/2025,learner
kick_102,43,41,49,49,46,needs more power and posture needs to be fixed,3/1/2025,learner
kick_103,43,42,45,52,45,needs more power and better trajectory,3/1/2025,learner
kick_104,49,56,53,46,51,needs better trajectory and better feet position,3/1/2025,learner
kick_105,56,50,57,52,56,needs more power to be a good shoot,3/1/2025,learner
kick_106,46,44,50,53,48,needs better trajectory and more power; some flaws in technique,3/1/2025,learner
kick_107,48,46,52,55,50,needs better trajectoru and more pwoer; some flaws in technique,3/1/2025,learner
kick_108,47,45,51,54,49,some technique flaws and not enough power in the shoot,3/1/2025,learner
kick_109,49,48,53,56,51,needs better trajectory and more power; some flaws in technique,3/1/2025,learner
kick_110,49,50,53,54,52,good trajectory but not enough power,3/1/2025,learner
kick_111,44,45,49,46,47,needs better trajectory and more power; little curve in the shoot,3/1/2025,learner
kick_112,45,49,47,45,48,some curve is present; needs more power,3/1/2025,learner
kick_113,41,47,43,42,44,completely missed shoot; curve is present; needs better trajectory,3/1/2025,learner
kick_114,45,47,49,44,47,decent curve; not enough power; predictable,3/1/2025,learner
kick_115,46,45,47,45,46,decent trajectory; needs more power; flaws in feet position,3/1/2025,learner
kick_116,43,41,42,43,43,very weak low driven shoot,3/1/2025,learner
kick_117,45,48,45,45,46,curve is present; needs more power; needs better trajectory; predictable for GK,3/1/2025,learner
kick_118,51,49,53,48,52,flaws in shooting technique; weak shoot; curve is present,3/1/2025,learner
kick_119,52,50,54,49,53,predictable for Gk; needs better trajectory; curve is present,3/1/2025,learner
kick_120,53,44,55,50,51,decent trajectory and curve but very weak,3/1/2025,learner
kick_121,54,44,52,55,50,very weak shoot; needs better trajectory and more power,3/1/2025,learner
kick_122,50,52,46,47,49,more powerful but trajectory is very predictable ,3/1/2025,learner
kick_123,42,40,40,49,43,very bad trajectory; very weak shoot,3/1/2025,learner
kick_124,44,42,43,46,44,shooting techique flaws consequently very weak,3/1/2025,learner
kick_125,40,44,43,40,42,strange trajectory(not good); shooting techique flaws; feet position very bad after shoot,3/1/2025,learner
kick_126,56,55,48,49,53,not bad trajectory but very weak shoot,3/1/2025,learner
kick_127,56,55,50,51,55,decent curve and good trajectory; needs more power,3/1/2025,learner
kick_128,52,46,47,48,49,decent curve; not enough power; predictable,3/1/2025,learner
kick_129,47,47,47,47,47,posture is wrong after shoot; technique flaws,3/1/2025,learner
kick_130,46,46,46,46,46,feet position is wrong after shoot; posture is bad; trajectory needs to be fixed,3/1/2025,learner
kick_131,30,29,28,37,31,kicks at he middle; easily saved; not enough power,3/1/2025,begginer
kick_132,20,26,21,29,24,completely missed shoot; kicks under the ball; major techique flaws,3/1/2025,begginer
kick_133,12,15,14,9,11,completely missed shoot; posture is bad; feet position is awful,3/1/2025,begginer
kick_134,20,21,24,26,22,not enough power; posture is very bad,3/1/2025,begginer
kick_135,31,35,30,36,34,needs better trajectory; not enough power,3/1/2025,begginer
kick_136,31,35,30,36,34,needs better trajectory; needs more power; ,3/1/2025,begginer
kick_137,39,39,37,39,39,needs more power; decent trajectory; quite predictable,3/1/2025,begginer
kick_138,9,11,12,8,10,very very weak shoot; trajectory is awful; major shooting tecnique flaws,3/1/2025,begginer
kick_139,29,19,24,28,23,some curv is present; weak shooting; predictable for GK,3/1/2025,begginer
kick_140,5,18,2,10,5,completely missed shoot; kicks under the ball; major techique flaws,3/1/2025,begginer
kick_141,25,33,21,30,28,not bad trajectory; needs beter trajectory and more power,3/1/2025,begginer
kick_142,26,33,22,31,29,needs more power; needs more curve,3/1/2025,begginer
kick_143,7,19,5,19,14,aswful trajectory; kicks under the ball;major flaws in tecnique ,3/1/2025,begginer
kick_144,30,21,32,33,31,needs more power; trajectory is not bad for a low driven shoot,3/1/2025,begginer
kick_145,24,35,20,23,27,bad trajectory; kicks under the ball; needs to fix trajectory,3/1/2025,begginer
kick_146,14,15,20,21,19,very weak shoot; neds better trajectory for a low driven shoot; easily saveable,3/1/2025,begginer
kick_147,3,2,2,4,3,it was rabona; major flaws in technique; needs more power,3/1/2025,begginer
kick_148,8,9,7,15,10,panenka shoot; very weak; very predictable;,3/1/2025,begginer
kick_149,10,18,15,17,17,very bad trajectory; very weak shoot,3/1/2025,begginer
kick_150,8,8,3,7,5,kicks under the ball; posture isn't straight; very weak; trajectory is awful,3/1/2025,begginer